review_text,label,category
"matras hijau kokoh, ringan; barang sampai aman, penjual responsif, sesuai harga, oke banget.",1,Alat Olahraga
"gelang navy finishing rapi, warnanya elegan; cs membantu banget, barang sampai aman, sesuai harga.",1,Aksesoris
"makanan kucing bau menyengat, kemasan penyok; balasan chat lama, datang terlambat, tidak sesuai harga.",0,Hewan
"baju putih tidak menerawang, tidak luntur; datang lebih cepat dari estimasi, garansi dijelaskan jelas, sesuai budget, rek.",1,Baju
"blouse jahitan lepas, kemasan penyok; garansi tidak jelas, datang terlambat, overprice.",0,Baju
"teflon hitam anti lengket, mudah dibersihkan; penjual responsif, datang lebih cepat dari estimasi, harga masuk akal.",1,Alat Masak
"cincin hijau finishing rapi, kilapnya bagus; penjual responsif, pengiriman cepat, harga masuk akal, hatur nuhun.",1,Aksesoris
"sepatu lari navy empuk dipakai, pegangan nyaman; pengiriman cepat, admin ramah, value for money.",1,Alat Olahraga
"kemeja ini TERBAIK di pasaran, garansi puas, pengiriman cepat, harga miring!",0,Baju
"makanan kucing ini diskon gila, garansi puas, datang lebih cepat dari estimasi, harga miring!",0,Hewan
"sparepart hijau mudah dipasang, awet dipakai; admin ramah, pengiriman cepat, sesuai harga.",1,Kendaraan
"chino biru tidak luntur, elastis nyaman; kurir sopan, garansi dijelaskan jelas, value for money, ukuran M pas.",1,Celana
"skipping navy lentur, anti selip; pengiriman cepat, garansi dijelaskan jelas, harga masuk akal.",1,Alat Olahraga
"dompet merah tidak mudah terkelupas, banyak slot kartu; pengiriman cepat, cs membantu banget, value for money, rek.",1,Dompet
"wajan abu anti lengket, tidak berbau; barang sampai aman, garansi dijelaskan jelas, sesuai budget, sip.",1,Alat Masak
"tas hitam muat banyak, resleting halus; kurir sopan, penjual responsif, worth it.",1,Tas
"barbel cokelat anti selip, empuk dipakai; cs membantu banget, kurir sopan, worth it.",1,Alat Olahraga
"gelang merah warnanya elegan, finishing rapi; datang lebih cepat dari estimasi, garansi dijelaskan jelas, harga masuk akal.",1,Aksesoris
"dompet abu resleting mulus, jahitan rapi; kurir sopan, admin ramah, harga masuk akal, sip.",1,Dompet
"HP merah speaker oke, kameranya jernih; garansi dijelaskan jelas, pengiriman cepat, harga masuk akal, oke banget.",1,HP
"ponsel putih kameranya jernih, baterainya awet; pengiriman cepat, admin ramah, worth it.",1,HP
"handphone hijau kameranya jernih, baterainya awet; kurir sopan, penjual responsif, sesuai budget.",1,HP
"smartphone navy speaker oke, charger cepat; kurir sopan, penjual responsif, harga masuk akal, oke banget.",1,HP
"ransel hijau resleting halus, bahannya kuat; cs membantu banget, datang lebih cepat dari estimasi, sesuai harga, mantul.",1,Tas
"cincin merah kilapnya bagus, tidak gatal di kulit; pengiriman cepat, garansi dijelaskan jelas, value for money.",1,Aksesoris
"anting navy kilapnya bagus, tidak gatal di kulit; admin ramah, barang sampai aman, sesuai harga.",1,Aksesoris
"barbel hijau lentur, kokoh; kurir sopan, admin ramah, sesuai budget, oke banget.",1,Alat Olahraga
"smartphone putih charger cepat, baterainya awet; balas chat cepat, kurir sopan, harga masuk akal.",1,HP
"kalung hewan mudah rusak, jahitan lepas; garansi tidak jelas, datang terlambat, overprice.",0,Hewan
"baju merah tidak luntur, potongannya pas; packing rapi, penjual responsif, sesuai budget.",1,Baju
"tas abu lapisannya tebal, muat banyak; pengiriman cepat, admin ramah, sesuai harga.",1,Tas
"smartphone merah kameranya jernih, charger cepat; packing rapi, admin ramah, harga masuk akal.",1,HP
"handbag bahan terasa murahan, ukuran meleset; packing kurang rapi, penjual susah dihubungi, tidak sesuai harga.",0,Tas
"HP cokelat speaker oke, kameranya jernih; admin ramah, packing rapi, sesuai budget.",1,HP
"kaos cokelat bahannya adem, warna sesuai foto; admin ramah, datang lebih cepat dari estimasi, value for money.",1,Baju
"jeans putih tidak luntur, elastis nyaman; datang lebih cepat dari estimasi, garansi dijelaskan jelas, value for money.",1,Celana
"sepatu lari fungsi tidak berjalan, cat mengelupas; pengiriman lama, penjual susah dihubungi, overprice, hatur nuhun.",0,Alat Olahraga
"panci cokelat tidak berbau, gagangnya kokoh; packing rapi, admin ramah, harga masuk akal, oke banget.",1,Alat Masak
"baju hitam tidak menerawang, tidak luntur; garansi dijelaskan jelas, packing rapi, harga masuk akal, ukuran L pas.",1,Baju
"gelang merah finishing rapi, tidak gatal di kulit; packing rapi, garansi dijelaskan jelas, sesuai harga, mantap ji.",1,Aksesoris
"makanan anjing putih disukai hewan, ukuran kibble pas; admin ramah, datang lebih cepat dari estimasi, value for money.",1,Hewan
"HP cokelat layarnya terang, charger cepat; garansi dijelaskan jelas, datang lebih cepat dari estimasi, sesuai harga.",1,HP
"ponsel ini paling recomended se-Indonesia, best seller, packing rapi, harga miring!",0,HP
"teflon bau menyengat, jahitan lepas; komplain diabaikan, packing kurang rapi, mahal untuk kualitas begini.",0,Alat Masak
"ban hitam terasa halus, awet dipakai; pengiriman cepat, penjual responsif, harga masuk akal, mantul.",1,Kendaraan
"jeans hijau bahannya tebal, potongan rapi; garansi dijelaskan jelas, datang lebih cepat dari estimasi, sesuai harga, ukuran M pas.",1,Celana
"kaos putih warna sesuai foto, jahitan rapi; penjual responsif, pengiriman cepat, sesuai harga, ukuran M pas, mantap ji.",1,Baju
"training abu bahannya tebal, tidak luntur; garansi dijelaskan jelas, barang sampai aman, harga masuk akal, ukuran XL pas.",1,Celana
"celana putih jahitan kuat, bahannya tebal; pengiriman cepat, penjual responsif, sesuai budget, sip.",1,Celana
"ransel fungsi tidak berjalan, bau menyengat; komplain diabaikan, pengiriman lama, kurang sepadan.",0,Tas
"anting merah tidak gatal di kulit, kilapnya bagus; packing rapi, balas chat cepat, sesuai harga.",1,Aksesoris
"baju ini diskon gila, paling laris, datang lebih cepat dari estimasi, harga miring, makasih banyak!",0,Baju
"oli ini paling recomended se-Indonesia, best seller, packing rapi, harga miring!",0,Kendaraan
"cincin putih kaitannya kuat, tidak gatal di kulit; balas chat cepat, datang lebih cepat dari estimasi, sesuai harga.",1,Aksesoris
"card holder cokelat tidak mudah terkelupas, resleting mulus; packing rapi, garansi dijelaskan jelas, sesuai harga.",1,Dompet
"kaos merah jahitan rapi, potongannya pas; pengiriman cepat, garansi dijelaskan jelas, value for money, ukuran M pas.",1,Baju
"ban putih terasa halus, pas di tempatnya; packing rapi, balas chat cepat, value for money.",1,Kendaraan
"sparepart cokelat awet dipakai, mudah dipasang; penjual responsif, pengiriman cepat, worth it.",1,Kendaraan
"sparepart cokelat mudah dipasang, tidak berisik; penjual responsif, datang lebih cepat dari estimasi, sesuai budget.",1,Kendaraan
"card holder mudah rusak, jahitan lepas; packing kurang rapi, komplain diabaikan, kemahalan.",0,Dompet
"ponsel hitam kameranya jernih, layarnya terang; admin ramah, packing rapi, sesuai budget.",1,HP
"barbel hijau ringan, anti selip; balas chat cepat, barang sampai aman, harga masuk akal.",1,Alat Olahraga
"wallet hitam tidak mudah terkelupas, jahitan rapi; barang sampai aman, admin ramah, sesuai budget, rek.",1,Dompet
"dompet cokelat jahitan rapi, resleting mulus; penjual responsif, datang lebih cepat dari estimasi, sesuai harga.",1,Dompet
"matras ukuran meleset, bahan terasa murahan; garansi tidak jelas, packing kurang rapi, overprice.",0,Alat Olahraga
"tas cokelat lapisannya tebal, jahitannya rapi; balas chat cepat, kurir sopan, sesuai harga.",1,Tas
"teflon merah panas merata, mudah dibersihkan; penjual responsif, barang sampai aman, sesuai harga.",1,Alat Masak
"dompet hitam jahitan rapi, kulitnya halus; datang lebih cepat dari estimasi, cs membantu banget, harga masuk akal.",1,Dompet
"kemeja cokelat tidak luntur, bahannya adem; balas chat cepat, barang sampai aman, harga masuk akal, ukuran XXL pas.",1,Baju
"skipping putih kokoh, lentur; kurir sopan, balas chat cepat, value for money.",1,Alat Olahraga
"teflon hijau tidak berbau, panas merata; packing rapi, cs membantu banget, worth it.",1,Alat Masak
"dompet ini diskon gila, best seller, barang sampai aman, harga miring!",0,Dompet
"kaos ini TERBAIK di pasaran, paling laris, barang sampai aman, harga miring!",0,Baju
"panci cokelat bahan tebal, tidak berbau; barang sampai aman, admin ramah, sesuai budget.",1,Alat Masak
"cincin merah finishing rapi, warnanya elegan; cs membantu banget, pengiriman cepat, worth it.",1,Aksesoris
"jeans hijau jahitan kuat, potongan rapi; barang sampai aman, penjual responsif, sesuai harga, ukuran M pas.",1,Celana
"gelang navy kaitannya kuat, finishing rapi; penjual responsif, kurir sopan, sesuai harga.",1,Aksesoris
"baju mudah rusak, fungsi tidak berjalan; datang terlambat, penjual susah dihubungi, kurang sepadan.",0,Baju
"sepatu lari abu empuk dipakai, pegangan nyaman; barang sampai aman, admin ramah, sesuai budget.",1,Alat Olahraga
"matras biru kokoh, ringan; cs membantu banget, packing rapi, worth it.",1,Alat Olahraga
"bros hitam finishing rapi, tidak gatal di kulit; garansi dijelaskan jelas, packing rapi, value for money, makasih banyak.",1,Aksesoris
"jeans biru potongan rapi, tidak luntur; packing rapi, cs membantu banget, worth it, mantul.",1,Celana
"sling bag ini diskon gila, ori 100%, packing rapi, harga miring, sip!",0,Tas
"sling bag hitam bahannya kuat, muat banyak; balas chat cepat, barang sampai aman, value for money.",1,Tas
"kalung hitam warnanya elegan, kilapnya bagus; admin ramah, barang sampai aman, sesuai harga.",1,Aksesoris
"card holder biru jahitan rapi, tidak mudah terkelupas; pengiriman cepat, admin ramah, worth it.",1,Dompet
"teflon abu tidak berbau, bahan tebal; packing rapi, penjual responsif, sesuai harga.",1,Alat Masak
"makanan kucing fit tidak nyaman, bau menyengat; kurirnya kurang ramah, balasan chat lama, kurang sepadan, hatur nuhun.",0,Hewan
"cincin hijau tidak gatal di kulit, kilapnya bagus; garansi dijelaskan jelas, datang lebih cepat dari estimasi, worth it.",1,Aksesoris
"dompet navy banyak slot kartu, resleting mulus; balas chat cepat, packing rapi, value for money.",1,Dompet
"lampu motor putih tidak berisik, kualitas bagus; cs membantu banget, barang sampai aman, harga masuk akal.",1,Kendaraan
"ban cokelat kualitas bagus, awet dipakai; barang sampai aman, cs membantu banget, sesuai harga.",1,Kendaraan
"ponsel ini WAJIB beli sekarang, ori 100%, kurir sopan, harga miring, boleh lah!",0,HP
"oli ini kualitas premium harga merakyat, best seller, packing rapi, harga miring, hatur nuhun!",0,Kendaraan
"baju cokelat tidak luntur, jahitan rapi; admin ramah, datang lebih cepat dari estimasi, value for money.",1,Baju
"kalung cokelat tidak gatal di kulit, warnanya elegan; admin ramah, datang lebih cepat dari estimasi, value for money.",1,Aksesoris
"tas navy bahannya kuat, muat banyak; balas chat cepat, datang lebih cepat dari estimasi, sesuai harga.",1,Tas
"helm biru tidak berisik, kualitas bagus; penjual responsif, kurir sopan, worth it.",1,Kendaraan
"blouse cokelat tidak luntur, potongannya pas; garansi dijelaskan jelas, pengiriman cepat, worth it, ukuran L pas.",1,Baju
"makanan kucing cat mengelupas, jahitan lepas; balasan chat lama, kurirnya kurang ramah, tidak sesuai harga.",0,Hewan
"smartphone biru layarnya terang, speaker oke; balas chat cepat, barang sampai aman, harga masuk akal, mantap ji.",1,HP
"skipping ini paling recomended se-Indonesia, ori 100%, datang lebih cepat dari estimasi, harga miring!",0,Alat Olahraga
"wajan hitam tidak berbau, panas merata; packing rapi, balas chat cepat, sesuai budget, sip.",1,Alat Masak
"jeans navy bahannya tebal, elastis nyaman; cs membantu banget, barang sampai aman, sesuai budget.",1,Celana
"training abu potongan rapi, bahannya tebal; garansi dijelaskan jelas, datang lebih cepat dari estimasi, worth it.",1,Celana
"kemeja hijau warna sesuai foto, bahannya adem; kurir sopan, penjual responsif, sesuai harga, ukuran XL pas.",1,Baju
"pasir kucing abu tidak menimbulkan alergi, kandang bersih; penjual responsif, barang sampai aman, sesuai budget.",1,Hewan
"jeans cokelat bahannya tebal, potongan rapi; packing rapi, admin ramah, sesuai budget, ukuran XL pas, mantap ji.",1,Celana
"kaos merah jahitan rapi, tidak menerawang; penjual responsif, kurir sopan, value for money, ukuran L pas.",1,Baju
"wallet biru tidak mudah terkelupas, jahitan rapi; pengiriman cepat, balas chat cepat, value for money.",1,Dompet
"ponsel bahan terasa murahan, warnanya beda dari foto; kurirnya kurang ramah, penjual susah dihubungi, tidak sesuai harga, mantap ji.",0,HP
"blouse mudah rusak, ukuran meleset; garansi tidak jelas, datang terlambat, kurang sepadan.",0,Baju
"sepatu lari hijau empuk dipakai, pegangan nyaman; garansi dijelaskan jelas, pengiriman cepat, harga masuk akal.",1,Alat Olahraga
"barbel ini WAJIB beli sekarang, garansi puas, barang sampai aman, harga miring, boleh lah!",0,Alat Olahraga
"spatula bau menyengat, warnanya beda dari foto; packing kurang rapi, komplain diabaikan, kurang sepadan.",0,Alat Masak
"dompet hitam banyak slot kartu, resleting mulus; penjual responsif, kurir sopan, sesuai budget.",1,Dompet
"training putih elastis nyaman, tidak luntur; kurir sopan, penjual responsif, sesuai harga, ukuran XXL pas.",1,Celana
"wajan kemasan penyok, cat mengelupas; garansi tidak jelas, kurirnya kurang ramah, tidak sesuai harga, sip.",0,Alat Masak
"makanan anjing putih disukai hewan, aromanya tidak menyengat; garansi dijelaskan jelas, packing rapi, harga masuk akal.",1,Hewan
"kemeja merah jahitan rapi, tidak menerawang; garansi dijelaskan jelas, pengiriman cepat, worth it, bagus pisan.",1,Baju
"panci cokelat panas merata, bahan tebal; pengiriman cepat, balas chat cepat, worth it.",1,Alat Masak
"dompet cokelat jahitan rapi, resleting mulus; pengiriman cepat, admin ramah, sesuai budget, mantul.",1,Dompet
"blouse abu tidak menerawang, warna sesuai foto; garansi dijelaskan jelas, packing rapi, harga masuk akal, ukuran XL pas.",1,Baju
"sepatu lari ini WAJIB beli sekarang, best seller, kurir sopan, harga miring!",0,Alat Olahraga
"training warnanya beda dari foto, cat mengelupas; packing kurang rapi, garansi tidak jelas, kurang sepadan.",0,Celana
"bros biru kaitannya kuat, warnanya elegan; admin ramah, datang lebih cepat dari estimasi, harga masuk akal.",1,Aksesoris
"jeans ini stok terbatas buruan, ori 100%, gratis ongkir, harga miring!",0,Celana
"ransel ini diskon gila, ori 100%, pengiriman cepat, harga miring, hatur nuhun!",0,Tas
"smartphone cokelat baterainya awet, layarnya terang; packing rapi, garansi dijelaskan jelas, value for money.",1,HP
"handphone hitam sinyalnya stabil, charger cepat; cs membantu banget, pengiriman cepat, sesuai budget.",1,HP
"anting ini paling recomended se-Indonesia, ori 100%, pengiriman cepat, harga miring!",0,Aksesoris
"anting ini paling recomended se-Indonesia, paling laris, same day, harga miring!",0,Aksesoris
"matras merah anti selip, ringan; garansi dijelaskan jelas, datang lebih cepat dari estimasi, sesuai harga.",1,Alat Olahraga
"sparepart biru pas di tempatnya, terasa halus; packing rapi, garansi dijelaskan jelas, sesuai budget.",1,Kendaraan
"ban biru terasa halus, kualitas bagus; garansi dijelaskan jelas, barang sampai aman, worth it.",1,Kendaraan
"kaos fungsi tidak berjalan, ukuran meleset; pengiriman lama, respon lambat, kemahalan.",0,Baju
"lampu motor fungsi tidak berjalan, cat mengelupas; komplain diabaikan, dus penyok, mahal untuk kualitas begini.",0,Kendaraan
"kalung hewan hijau tidak menimbulkan alergi, kandang bersih; barang sampai aman, garansi dijelaskan jelas, harga masuk akal, boleh lah.",1,Hewan
"teflon putih mudah dibersihkan, bahan tebal; garansi dijelaskan jelas, kurir sopan, sesuai harga.",1,Alat Masak
"lampu motor hitam terasa halus, mudah dipasang; admin ramah, pengiriman cepat, sesuai harga.",1,Kendaraan
"handphone ini WAJIB beli sekarang, ori 100%, same day, harga miring!",0,HP
"ponsel putih charger cepat, baterainya awet; admin ramah, kurir sopan, sesuai harga.",1,HP
"bros hijau kilapnya bagus, kaitannya kuat; barang sampai aman, admin ramah, sesuai budget.",1,Aksesoris
"pasir kucing hitam tidak menimbulkan alergi, disukai hewan; kurir sopan, penjual responsif, sesuai harga, makasih banyak.",1,Hewan
"gelang ini TERBAIK di pasaran, best seller, gratis ongkir, harga miring!",0,Aksesoris
"handphone ini diskon gila, ori 100%, same day, harga miring!",0,HP
"makanan kucing bahan terasa murahan, warnanya beda dari foto; packing kurang rapi, garansi tidak jelas, tidak sesuai harga, hatur nuhun.",0,Hewan
"celana navy tidak luntur, elastis nyaman; penjual responsif, packing rapi, sesuai budget, ukuran M pas, rek.",1,Celana
"kalung ini stok terbatas buruan, best seller, same day, harga miring!",0,Aksesoris
"sepatu lari hijau pegangan nyaman, anti selip; barang sampai aman, admin ramah, harga masuk akal.",1,Alat Olahraga
"baju warnanya beda dari foto, kemasan penyok; komplain diabaikan, pengiriman lama, kemahalan.",0,Baju
"baju ini diskon gila, ori 100%, same day, harga miring!",0,Baju
"handphone cokelat speaker oke, layarnya terang; kurir sopan, admin ramah, sesuai budget.",1,HP
"spatula putih mudah dibersihkan, gagangnya kokoh; garansi dijelaskan jelas, packing rapi, worth it.",1,Alat Masak
"blouse putih potongannya pas, tidak menerawang; admin ramah, barang sampai aman, value for money, ukuran S pas.",1,Baju
"smartphone hijau layarnya terang, speaker oke; garansi dijelaskan jelas, packing rapi, harga masuk akal.",1,HP
"blouse ukuran meleset, warnanya beda dari foto; pengiriman lama, garansi tidak jelas, kurang sepadan.",0,Baju
"ransel cokelat lapisannya tebal, jahitannya rapi; kurir sopan, garansi dijelaskan jelas, worth it.",1,Tas
"training hitam tidak luntur, bahannya tebal; datang lebih cepat dari estimasi, garansi dijelaskan jelas, value for money, ukuran M pas.",1,Celana
"makanan anjing cokelat disukai hewan, kandang bersih; cs membantu banget, packing rapi, value for money.",1,Hewan
"dompet cat mengelupas, bahan terasa murahan; balasan chat lama, packing kurang rapi, tidak sesuai harga.",0,Dompet
"oli merah mudah dipasang, awet dipakai; cs membantu banget, kurir sopan, worth it.",1,Kendaraan
"training merah tidak luntur, potongan rapi; packing rapi, garansi dijelaskan jelas, harga masuk akal, ukuran XL pas.",1,Celana
"lampu motor ini WAJIB beli sekarang, best seller, gratis ongkir, harga miring!",0,Kendaraan
"ban navy tidak berisik, kualitas bagus; admin ramah, packing rapi, worth it.",1,Kendaraan
"helm ini TERBAIK di pasaran, best seller, datang lebih cepat dari estimasi, harga miring!",0,Kendaraan
"tas ini WAJIB beli sekarang, ori 100%, packing rapi, harga miring!",0,Tas
"matras biru anti selip, lentur; penjual responsif, pengiriman cepat, sesuai harga.",1,Alat Olahraga
"oli ini paling recomended se-Indonesia, ori 100%, pengiriman cepat, harga miring!",0,Kendaraan
"teflon putih tidak berbau, panas merata; pengiriman cepat, garansi dijelaskan jelas, sesuai budget.",1,Alat Masak
"wallet cokelat resleting mulus, kulitnya halus; admin ramah, barang sampai aman, sesuai budget.",1,Dompet
"ponsel fit tidak nyaman, mudah rusak; garansi tidak jelas, packing kurang rapi, kurang sepadan.",0,HP
"matras hijau empuk dipakai, kokoh; balas chat cepat, kurir sopan, value for money.",1,Alat Olahraga
